case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
Atlanta day trading spree killings,"Atlanta, Georgia",7/29/1999,1999,White,Male,9,13,22,Workplace,33.850116,-84.377839,Mass,44,Yes,"In letters, he details his deep depression and downward spiral. ",Yes,"Glock purchased from gun store in Warner Robins, Ga. ","Three semiautomatic handguns, one revolver",".45N/acaliber Colt 1911N/aA1, 9mm Glock 17, .25N/acaliber Raven Arms MPN/a25 semiautomatic handguns; .22N/acaliber Harrington & Richardson revolver",http://www.independent.co.uk/news/iN/adontN/aplanN/atoN/aliveN/amuchN/alongerN/ajustN/alongN/aenoughN/atoN/akillN/atheN/apeopleN/athatN/agreedilyN/asoughtN/amyN/adestructionN/a1109610.html; http://articles.cnn.com/1999N/a07N/a30/us/9907_30_atlanta.shooting.06_1_gladysN/abartonN/adebraN/aspiveyN/abartonN/anote?_s=PM:US; http://www.vpc.org/studies/wgun990729.htm,http://www.independent.co.uk/news/iN/adontN/aplanN/atoN/aliveN/amuchN/alongerN/ajustN/alongN/aenoughN/atoN/akillN/atheN/apeopleN/athatN/agreedilyN/asoughtN/amyN/adestructionN/a1109610.html,http://www.independent.co.uk/news/iN/adontN/aplanN/atoN/aliveN/amuchN/alongerN/ajustN/alongN/aenoughN/atoN/akillN/atheN/apeopleN/athatN/agreedilyN/asoughtN/amyN/adestructionN/a1109610.html; http://articles.cnn.com/1999N/a07N/a30/us/9907_30_atlanta.shooting.06_1_gladysN/abartonN/adebraN/aspiveyN/abartonN/anote?_s=PM:US; http://www.vpc.org/studies/wgun990729.htm,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two dayN/atrading firms. He started at the AllN/aTech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",,,,,,
Columbine High School massacre,"Littleton, Colorado",4/20/1999,1999,White,Male,13,24,37,School,39.604034,-105.074103,Mass,17,Yes,Harris was an alleged psychopath; Klebold was depressed and suicidal.,No,"Purchased variously at Tanner Gun Show in Denver, Colo. and from an individual","One semiautomatic handgun (assault), one rifle (assault), two shotguns","9mm Intratec DCN/a9 semiautomatic handgun; 9mm HiN/aPoint 995 carbine rifle; 12N/agauge sawedN/aoff Savage Stevens 311D, 12N/agauge sawedN/aoff Savage Springfield 67H pumpN/aaction shotguns",http://www.usatoday.com/news/nation/2009N/a04N/a13N/acolumbineN/amyths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html,http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html,http://www.usatoday.com/news/nation/2009N/a04N/a13N/acolumbineN/amyths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",,,,,,
Thurston High School shooting,"Springfield, Oregon",5/21/1998,1998,White,Male,4,25,29,School,44.0462362,-123.0220289,Mass,15,Yes,Doctors testified that he was a paranoid schizophrenic who suffered from hallucinations,No,"Purchased variously from friend and father, and stolen from father","Two semiautomatic handguns, one rifle","9mm Glock, .22N/acaliber Ruger semiautomatic handguns, .22N/acaliber Ruger rifle",http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000N/a01N/a21/us/kinkel.revisited_1_kipN/akinkelN/athurstonN/ahighN/aschoolN/aoregonN/aschoolN/ashooting?_s=PM:US,http://articles.cnn.com/2000N/a01N/a21/us/kinkel.revisited_1_kipN/akinkelN/athurstonN/ahighN/aschoolN/aoregonN/aschoolN/ashooting?_s=PM:US,http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000N/a01N/a21/us/kinkel.revisited_1_kipN/akinkelN/athurstonN/ahighN/aschoolN/aoregonN/aschoolN/ashooting?_s=PM:US,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ",,,,,,
Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,1998,White,Male,5,10,15,School,35.8209895,-90.6682606,Mass,11,No,Boys displayed unruly and aggressive behavior. They picked on kids and made threats about killing people. ,No,Stolen from grandfather and father,"Two semiautomatic handguns, two rifles, three revolvers, two derringers","FIE 380, .380N/acaliber Star semiautomatic handguns; .44 Magnum Ruger, .30N/a06 Remington 742, .30N/acaliber Universal MN/a1 carbine replica rifles; .38N/acaliber Charter Arms, .357N/acaliber Ruger Security Six, .38N/acaliber Smith & Wesson revolvers; .22N/acaliber Double Deuce Buddie twoN/ashot, .38N/acaliber Davis Industries twoN/ashot derringers",http://www.vpc.org/studies/wgun980324.htm,http://www.nytimes.com/1998/03/29/us/fromN/awildN/atalkN/aandN/afriendshipN/atoN/afiveN/adeathsN/ainN/aaN/aschoolyard.html?sec=&spon=&pagewanted=all,http://www.vpc.org/studies/wgun980324.htm; https://www.nytimes.com/1998/04/18/us/jonesboroN/adazedN/abyN/aitsN/adarkestN/aday.html,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",,,,,,
Connecticut Lottery shooting,"Newington, Connecticut",3/6/1998,1998,White,Male,5,1,6,Workplace,41.6856325,-72.72983827,Mass,35,Yes,He had been hospitalized for psychiatric reasons and had a history of depression,Yes,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,http://www.nytimes.com/1998/03/07/nyregion/rampageN/aconnecticutN/aoverviewN/aconnecticutN/alotteryN/aworkerN/akillsN/a4N/abossesN/athen.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/holeN/ainN/agunN/acontrolN/alawN/aletsN/amentallyN/aillN/athrough.html?pagewanted=all&src=pm,http://www.nytimes.com/2000/04/11/us/holeN/ainN/agunN/acontrolN/alawN/aletsN/amentallyN/aillN/athrough.html?pagewanted=all&src=pm,http://www.nytimes.com/1998/03/07/nyregion/rampageN/aconnecticutN/aoverviewN/aconnecticutN/alotteryN/aworkerN/akillsN/a4N/abossesN/athen.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/holeN/ainN/agunN/acontrolN/alawN/aletsN/amentallyN/aillN/athrough.html?pagewanted=all&src=pm,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",,,,,,
Caltrans maintenance yard shooting,"Orange, California",12/18/1997,1997,Latino,Male,5,2,7,Workplace,33.7877944,-117.8531119,Spree,41,No,He was disgruntled after being fired. ,Yes,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),7.62mm AKN/a47 Chinese variant semiautomatic rifle,"http://articles.latimes.com/1997/dec/20/news/mnN/a431; http://articles.latimes.com/1997/dec/22/local/meN/a1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en",http://articles.latimes.com/1997/dec/20/news/mnN/a431,"http://articles.latimes.com/1997/dec/20/news/mnN/a431; http://articles.latimes.com/1997/dec/22/local/meN/a1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en","Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",,,,,,
R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/1997,1997,Black,Male,4,3,7,Workplace,33.5598586,-81.721952,Mass,43,No,"An exN/acon, he had been freed from prison, although he displayed violent tendencies.",No,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,"ExN/acon Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",,,,,,
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,1996,Black,Male,6,1,7,Workplace,26.119269,-80.104119,Spree,41,Yes,"CoN/aworkers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.",Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Glock semiautomatic handgun; .32N/acaliber revolver,http://www.nytimes.com/1996/02/11/us/floridaN/akillerN/asaidN/avictimsN/awereN/aracistsN/apoliceN/asay.html; http://articles.sunN/asentinel.com/1996N/a02N/a10/news/9602090635_1_millionN/afirearmsN/amultipleN/agunsN/areloading,http://articles.sunN/asentinel.com/1996N/a02N/a11/news/9602110026_1_beachN/acrewN/amaintenanceN/afortN/alauderdale,http://www.nytimes.com/1996/02/11/us/floridaN/akillerN/asaidN/avictimsN/awereN/aracistsN/apoliceN/asay.html; http://articles.sunN/asentinel.com/1996N/a02N/a10/news/9602090635_1_millionN/afirearmsN/amultipleN/agunsN/areloading,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",,,,,,
Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/1995,1995,unclear,Male,6,0,6,Workplace,27.828025,-97.548198,Mass,28,No,He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.,Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Ruger semiautomatic handgun; .32N/acaliber revolver,http://web.caller.com/2000/april/03/today/local_ne/4127.html,http://web.caller.com/2000/april/03/today/local_ne/4127.html,http://web.caller.com/2000/april/03/today/local_ne/4127.html,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",,,,,,
Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/1994,1994,White,Male,5,23,28,Military,47.61864486,-117.6483587,Mass,20,Yes,He was repeatedly diagnosed with emotional problems during his two years of service.,Yes,"Gun dealer in Spokane, Wash.",One rifle (assault),MAKN/a90 semiautomatic rifle,http://articles.latimes.com/1994N/a06N/a22/news/mnN/a7137_1_airN/aforce; http://www.nytimes.com/1994/06/22/us/anN/aairmanN/asN/arevengeN/a5N/aminutesN/aofN/aterror.html,http://articles.latimes.com/1994N/a06N/a22/news/mnN/a7137_1_airN/aforce,http://articles.latimes.com/1994N/a06N/a22/news/mnN/a7137_1_airN/aforce; http://www.nytimes.com/1994/06/22/us/anN/aairmanN/asN/arevengeN/a5N/aminutesN/aofN/aterror.html,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",,,,,,
Chuck E. Cheese's killings,"Aurora, Colorado",12/14/1993,1993,Black,Male,4,1,5,Workplace,39.675599,-104.844845,Mass,19,Unclear,"While he was in prison awaiting trial, he started acting bizarre by stripping naked and playing with his feces, apparently to avoid the death penalty. A state doctor testified that Dunlap was was faking his mental illness. ",Unknown,Unknown,One semiautomatic handgun,.25N/acaliber semiautomatic handgun,"http://www.denverpost.com/news/ci_20218952/auroraN/achuckN/aeN/acheeseN/akillersN/aappealN/acitesN/amental; http://abcnews.go.com/US/aurorasN/amassacreN/avictimsN/a20N/ayearN/awaitN/ajustice/story?id=16847013; http://www.5280.com/magazine/2008/12/politicsN/akilling?page=0,6 ","http://www.5280.com/magazine/2008/12/politicsN/akilling?page=0,6","http://www.denverpost.com/news/ci_20218952/auroraN/achuckN/aeN/acheeseN/akillersN/aappealN/acitesN/amental; http://abcnews.go.com/US/aurorasN/amassacreN/avictimsN/a20N/ayearN/awaitN/ajustice/story?id=16847013; http://www.5280.com/magazine/2008/12/politicsN/akilling?page=0,6 ","Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",,,,,,
Long Island Rail Road massacre,"Garden City, New York",12/7/1993,1993,Black,Male,6,19,25,Other,40.7267682,-73.6342955,Spree,35,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",Yes,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,http://www.nytimes.com/1993/12/12/nyregion/tormentedN/alifeN/aspecialN/areportN/alongN/aslideN/aprivilegeN/aendsN/aslaughterN/atrain.html; http://www.vpc.org/studies/wgun931207.htm,http://www.nytimes.com/1993/12/12/nyregion/tormentedN/alifeN/aspecialN/areportN/alongN/aslideN/aprivilegeN/aendsN/aslaughterN/atrain.html,http://www.nytimes.com/1993/12/12/nyregion/tormentedN/alifeN/aspecialN/areportN/alongN/aslideN/aprivilegeN/aendsN/aslaughterN/atrain.html; http://www.vpc.org/studies/wgun931207.htm,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",,,,,,
Luigi's shooting,"Fayetteville, North Carolina",8/6/1993,1993,White,Male,4,8,12,Other,35.0529931,-78.8787058,Mass,22,No,"He had an abusive father, who committed suicide.",Yes,Unknown,"One rifle, two shotguns",.22N/acaliber rifle; two 12N/agauge shotguns,"http://articles.latimes.com/1993N/a08N/a08/news/mnN/a21847_1_killsN/aarmyN/afrench; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://articles.latimes.com/1993N/a08N/a08/news/mnN/a21847_1_killsN/aarmyN/afrench; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",,,,,,
101 California Street shootings,"San Francisco, California",7/1/1993,1993,White,Male,9,6,15,Other,37.792968,-122.397973,Mass,55,No,"He was down on his luck because of failed business decisions. One acquaintance said, ""He was the least likely guy you can imagine doing something like that.""  His exN/awife said he ""hated violence.""",No,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),"Two Intratec DCN/a9, .45N/acaliber Colt semiautomatic handguns",http://articles.latimes.com/1993N/a07N/a03/news/mnN/a10731_1_mortgageN/abusiness/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,http://articles.latimes.com/1993N/a07N/a03/news/mnN/a10731_1_mortgageN/abusiness,http://articles.latimes.com/1993N/a07N/a03/news/mnN/a10731_1_mortgageN/abusiness/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",,,,,,
Watkins Glen killings,"Watkins Glen, New York",10/15/1992,1992,White,Male,5,0,5,Other,42.3810555,-76.8705777,Mass,50,Yes,"The day before the shooting, he told childN/asupport collection office workers that he was considering suicide. He had been convicted of felonious assault for pointing a revolver at police officers responding to a domestic violence report at this girlfriend's apartment. ",Yes,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,9mm Llama semiautomatic handgun,http://www.nytimes.com/1992/10/17/nyregion/shootingN/afollowedN/atougherN/aeffortsN/atoN/acollectN/achildN/asupport.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunmanN/akillsN/a4N/awhoN/acollectedN/achildN/apayments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkinsN/aglenN/akillingsN/acalledN/aplanned.html,http://www.nytimes.com/1992/10/24/nyregion/watkinsN/aglenN/akillingsN/acalledN/aplanned.html,http://www.nytimes.com/1992/10/17/nyregion/shootingN/afollowedN/atougherN/aeffortsN/atoN/acollectN/achildN/asupport.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunmanN/akillsN/a4N/awhoN/acollectedN/achildN/apayments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkinsN/aglenN/akillingsN/acalledN/aplanned.html,"John T. Miller, 50, killed four childN/asupport workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue childN/asupport payments.",,,,,,
Lindhurst High School shooting,"Olivehurst, California",5/1/1992,1992,White,Male,4,10,14,School,39.07868761,-121.5475762,Mass,20,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",Yes,Local gun retailer,"One rifle, one shotgun",.22N/acaliber sawedN/aoff rifle; 12N/agauge pumpN/aaction shotgun,http://www.schoolshooters.info/PL/SubjectN/aHouston_files/Nine%20Brief%20Sketches.pdf; http://www.appealN/ademocrat.com/news/schoolN/a47104N/ashootingN/aeckardt.html; http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=0EB0D9D91FC593A0&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/DeathN/averdictN/aOKdN/aforN/aschoolN/aslaughterN/a3758444.php,http://www.schoolshooters.info/PL/SubjectN/aHouston_files/Nine%20Brief%20Sketches.pdf,http://www.schoolshooters.info/PL/SubjectN/aHouston_files/Nine%20Brief%20Sketches.pdf; http://www.appealN/ademocrat.com/news/schoolN/a47104N/ashootingN/aeckardt.html; http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=0EB0D9D91FC593A0&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/DeathN/averdictN/aOKdN/aforN/aschoolN/aslaughterN/a3758444.php,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eightN/ahour standoff. He was later sentenced to death.",,,,,,
Royal Oak postal shootings,"Royal Oak, Michigan",11/14/1991,1991,White,Male,5,5,10,Workplace,42.4894801,-83.1446485,Mass,31,Yes,Police revoked his CCW permit after determining he was mentally unstable.,Yes,Local gun store,One rifle,.22N/acaliber Ruger sawedN/aoff semiautomatic rifle,http://www.nytimes.com/1991/11/15/us/exN/apostalN/aworkerN/akillsN/a3N/aandN/awoundsN/a6N/ainN/amichigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,http://www.nytimes.com/1991/11/15/us/exN/apostalN/aworkerN/akillsN/a3N/aandN/awoundsN/a6N/ainN/amichigan.html,http://www.nytimes.com/1991/11/15/us/exN/apostalN/aworkerN/akillsN/a3N/aandN/awoundsN/a6N/ainN/amichigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,"LaidN/aoff postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",,,,,,
University of Iowa shooting,"Iowa City, Iowa",11/1/1991,1991,Asian,Male,6,1,7,School,41.6606893,-91.5302214,Spree,28,Unclear,He was described as darkly disturbed and isolated.,Yes,"Fin & Feather in Iowa City, Iowa",One revolver,.38N/acaliber Taurus revolver,http://www.nytimes.com/1991/11/03/us/gunmanN/ainN/aiowaN/awroteN/aofN/aplansN/ainN/afiveN/aletters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gangN/aluN/ashootingsN/aatN/auiN/arememberedN/a20N/ayearsN/alater/; http://www.nytimes.com/1991/11/04/us/iowaN/agunmanN/awasN/atornN/abyN/aacademicN/achallenge.html?pagewanted=2&src=pm,http://www.nytimes.com/1991/11/03/us/gunmanN/ainN/aiowaN/awroteN/aofN/aplansN/ainN/afiveN/aletters.html?pagewanted=all&src=pm,http://www.nytimes.com/1991/11/03/us/gunmanN/ainN/aiowaN/awroteN/aofN/aplansN/ainN/afiveN/aletters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gangN/aluN/ashootingsN/aatN/auiN/arememberedN/a20N/ayearsN/alater/; http://www.nytimes.com/1991/11/04/us/iowaN/agunmanN/awasN/atornN/abyN/aacademicN/achallenge.html?pagewanted=2&src=pm,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",,,,,,
Luby's massacre,"Killeen, Texas",10/16/1991,1991,White,Male,24,20,44,Other,31.1171194,-97.7277959,Mass,35,No,"Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""",Yes,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",http://www.nytimes.com/1991/10/18/us/portraitN/aofN/atexasN/akillerN/aimpatientN/aandN/atroubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/deadN/a23N/atexansN/aandN/a1N/aantiN/agunN/ameasure.html; http://www.vpc.org/studies/wgun911016.htm,http://www.nytimes.com/1991/10/20/weekinreview/deadN/a23N/atexansN/aandN/a1N/aantiN/agunN/ameasure.html; http://www.nytimes.com/1991/10/18/us/portraitN/aofN/atexasN/akillerN/aimpatientN/aandN/atroubled.html?pagewanted=all&src=pm,http://www.nytimes.com/1991/10/18/us/portraitN/aofN/atexasN/akillerN/aimpatientN/aandN/atroubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/deadN/a23N/atexansN/aandN/a1N/aantiN/agunN/ameasure.html; http://www.vpc.org/studies/wgun911016.htm,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",,,,,,
GMAC massacre,"Jacksonville, Florida",6/18/1990,1990,Black,Male,10,4,14,Other,30.3321838,-81.655651,Mass,42,No,"Police speculated he had a ""grudge"" against the people he killed. ",Yes,Unknown,"One rifle, one revolver",.30N/acaliber Universal M1 carbine rifle; .38N/acaliber revolver,http://www.nytimes.com/1990/06/19/us/floridaN/agunmanN/akillsN/a8N/aandN/awoundsN/a6N/ainN/aoffice.html; http://www.nytimes.com/1990/06/20/us/hazyN/arecordsN/ahelpedN/afloridaN/agunmanN/abuyN/aarms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/floridaN/agunmanN/akillsN/a8N/aandN/awoundsN/a6N/ainN/aoffice.html?pagewanted=all&src=pm,http://www.nytimes.com/1990/06/20/us/hazyN/arecordsN/ahelpedN/afloridaN/agunmanN/abuyN/aarms.html,http://www.nytimes.com/1990/06/19/us/floridaN/agunmanN/akillsN/a8N/aandN/awoundsN/a6N/ainN/aoffice.html; http://www.nytimes.com/1990/06/20/us/hazyN/arecordsN/ahelpedN/afloridaN/agunmanN/abuyN/aarms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/floridaN/agunmanN/akillsN/a8N/aandN/awoundsN/a6N/ainN/aoffice.html?pagewanted=all&src=pm,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",,,,,,
Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,1989,White,Male,9,12,21,Workplace,38.2542376,-85.759407,Mass,47,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",Yes,"AKN/a47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MACN/a11, 9mm SIG Sauer semiautomatic handguns; AKN/a47 Chinese variant semiautomatic rifle; .38N/acaliber revolver",http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=0EB73C025033DC82&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbedN/apastN/aofN/akillerN/aofN/a7N/aisN/aunraveled.html?pagewanted=all&src=pm,http://www.nytimes.com/1989/09/16/us/disturbedN/apastN/aofN/akillerN/aofN/a7N/aisN/aunraveled.html,http://nl.newsbank.com/nlN/asearch/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_directN/a0=0EB73C025033DC82&p_field_directN/a0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbedN/apastN/aofN/akillerN/aofN/a7N/aisN/aunraveled.html?pagewanted=all&src=pm,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",,,,,,
Stockton schoolyard shooting,"Stockton, California",1/17/1989,1989,White,Male,6,29,35,School,37.9577016,-121.2907796,Mass,26,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",Yes,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AKN/a47 Chinese variant semiautomatic rifle,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html",http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html","Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",,,,,,
